NEPRYAEVA Natalia;RUS;1;843
ANDERSSON Ebba;SWE;2;648
DIGGINS Jessie;USA;3;622
WENG Heidi;NOR;4;586
PARMAKOSKI Krista;FIN;5;516
KARLSSON Frida;SWE;6;483
NISKANEN Kerttu;FIN;7;467
DAHLQVIST Maja;SWE;8;464
LAMPIC Anamarija;SLO;9;462
SORINA Tatiana;RUS;10;448
WENG Tiril Udnes;NOR;11;431
HENNIG Katharina;GER;12;391
JOHAUG Therese;NOR;13;375
FAEHNDRICH Nadine;SUI;14;329
BRENNAN Rosie;USA;15;328
STADLOBER Teresa;AUT;16;321
MATINTALO Johanna;FIN;17;274
HAGSTROEM Johanna;SWE;18;236
CLAUDEL Delphine;FRA;19;221
MYHRVOLD Mathilde;NOR;20;219
